,id,name,des,last refreshed,from,to
27,100086,DSP Mutual Fund - DSP Government Securities Fund - Regular Plan - IDCW - Monthly,ISIN Div Payout/ ISIN Growth: INF740K01623<br><br>ISIN Div Reinvestment: INF740K01AE3,14-05-2021 20:00,03-04-2006,14-05-2021
28,100087,DSP Mutual Fund - DSP Savings Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01714,14-05-2021 20:00,03-04-2006,14-05-2021
29,100088,DSP Mutual Fund - DSP Savings Fund - Regular Plan - IDCW,ISIN Div Payout/ ISIN Growth: INF740K01706<br><br>ISIN Div Reinvestment: INF740K01AJ2,14-05-2021 20:00,03-04-2006,14-05-2021
30,100089,DSP Mutual Fund - DSP Savings Fund - Regular Plan - IDCW - Monthly,ISIN Div Payout/ ISIN Growth: INF740K01722<br><br>ISIN Div Reinvestment: INF740K01AK0,14-05-2021 20:00,03-04-2006,14-05-2021
31,100119,HDFC Mutual Fund - HDFC Balanced Advantage Fund - Growth Plan,ISIN Div Payout/ ISIN Growth: INF179K01830,14-05-2021 20:00,03-04-2006,14-05-2021
32,100120,HDFC Mutual Fund - HDFC Balanced Advantage Fund - IDCW Plan,ISIN Div Payout/ ISIN Growth: INF179K01814<br><br>ISIN Div Reinvestment: INF179K01822,14-05-2021 20:00,03-04-2006,14-05-2021
33,100123,HDFC Mutual Fund - HDFC Income Fund - Quarterly IDCW Option,ISIN Div Payout/ ISIN Growth: INF179K01947<br><br>ISIN Div Reinvestment: INF179K01954,14-05-2021 20:00,03-04-2006,14-05-2021
34,100124,HDFC Mutual Fund - HDFC Income Fund - Growth Option,ISIN Div Payout/ ISIN Growth: INF179K01962,14-05-2021 20:00,03-04-2006,14-05-2021
35,100152,Principal Mutual Fund - Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,ISIN Div Payout/ ISIN Growth: INF173K01AH0<br><br>ISIN Div Reinvestment: INF173K01AI8,14-05-2021 20:00,03-04-2006,14-05-2021
36,100153,Principal Mutual Fund - Principal Nifty 100 Equal Weight Fund-Growth,ISIN Div Payout/ ISIN Growth: INF173K01AG2,14-05-2021 20:00,03-04-2006,14-05-2021
37,100156,Principal Mutual Fund - Principal Tax Savings Fund,ISIN Div Payout/ ISIN Growth: INF173K01361,14-05-2021 20:00,03-04-2006,14-05-2021
38,100171,quant Mutual Fund - Quant Dynamic Bond-Dividend,ISIN Div Payout/ ISIN Growth: INF966L01077<br><br>ISIN Div Reinvestment: INF966L01085,23-02-2021 11:00,03-04-2006,12-02-2021
39,100172,quant Mutual Fund - Quant Dynamic Bond-Growth,ISIN Div Payout/ ISIN Growth: INF966L01093,23-02-2021 11:00,03-04-2006,12-02-2021
40,100173,quant Mutual Fund - Quant Dynamic Bond-Bonus,ISIN Div Payout/ ISIN Growth: INF966L01101,23-02-2021 11:00,03-04-2006,12-02-2021
41,100174,quant Mutual Fund - quant Tax Plan - IDCW Option - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01119,14-05-2021 20:00,03-04-2006,14-05-2021
42,100175,quant Mutual Fund - quant Tax Plan - Growth Option - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01135,14-05-2021 20:00,03-04-2006,14-05-2021
43,100176,quant Mutual Fund - quant Small Cap Fund - IDCW Option - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01036<br><br>ISIN Div Reinvestment: INF966L01044,14-05-2021 20:00,03-04-2006,14-05-2021
44,100177,quant Mutual Fund - quant Small Cap Fund - Growth - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01AA0,14-05-2021 20:00,03-04-2006,14-05-2021
45,100218,JM Financial Mutual Fund - JM Large Cap Fund (Regular) - IDCW ,ISIN Div Payout/ ISIN Growth: INF192K01585<br><br>ISIN Div Reinvestment: INF192K01593,14-05-2021 20:00,03-04-2006,14-05-2021
46,100219,JM Financial Mutual Fund - JM Large Cap Fund (Regular) - Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01601,14-05-2021 20:00,03-04-2006,14-05-2021
47,100220,JM Financial Mutual Fund - JM Equity Hybrid Fund (Regular) - IDCW ,ISIN Div Payout/ ISIN Growth: INF192K01528<br><br>ISIN Div Reinvestment: INF192K01536,14-05-2021 20:00,03-04-2006,14-05-2021
48,100221,JM Financial Mutual Fund - JM Equity Hybrid Fund (Regular) -Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01544,14-05-2021 20:00,03-04-2006,14-05-2021
49,100222,JM Financial Mutual Fund - JM Income Fund (Regular) - Quarterly IDCW ,ISIN Div Payout/ ISIN Growth: INF192K01999<br><br>ISIN Div Reinvestment: INF192K01AA5,14-05-2021 20:00,03-04-2006,14-05-2021
50,100223,JM Financial Mutual Fund - JM Income Fund (Regular) - Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01AB3,14-05-2021 20:00,03-04-2006,14-05-2021
51,100233,JM Financial Mutual Fund - JM Liquid Fund (Regular) - Weekly IDCW,ISIN Div Payout/ ISIN Growth: INF192K01841<br><br>ISIN Div Reinvestment: INF192K01858,14-05-2021 20:00,02-04-2006,14-05-2021
52,100234,JM Financial Mutual Fund - JM Liquid Fund - Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01882,14-05-2021 20:00,02-04-2006,14-05-2021
53,100244,JM Financial Mutual Fund - JM Liquid Fund (Regular) - Quarterly IDCW,ISIN Div Payout/ ISIN Growth: INF192K01866<br><br>ISIN Div Reinvestment: INF192K01874,14-05-2021 20:00,02-04-2006,14-05-2021
54,100247,JM Financial Mutual Fund - JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,ISIN Div Payout/ ISIN Growth: INF192K01981,14-05-2021 20:00,02-04-2006,14-05-2021
55,100254,JM Financial Mutual Fund - JM Value Fund (Regular) - Growth Option,ISIN Div Payout/ ISIN Growth: INF137A01037,14-05-2021 20:00,03-04-2006,14-05-2021
56,100264,Kotak Mahindra Mutual Fund - Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF174K01FK1<br><br>ISIN Div Reinvestment: INF174K01FJ3,14-05-2021 20:00,02-04-2006,14-05-2021
57,100265,Kotak Mahindra Mutual Fund - Kotak Gilt-Investment Regular-Growth,ISIN Div Payout/ ISIN Growth: INF174K01FI5,14-05-2021 20:00,02-04-2006,14-05-2021
58,100280,Kotak Mahindra Mutual Fund - Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,ISIN Div Payout/ ISIN Growth: INF174K01FM7,14-05-2021 20:00,02-04-2006,14-05-2021
59,100281,Kotak Mahindra Mutual Fund - Kotak Gilt-Investment  Provident Fund and Trust-Growth,ISIN Div Payout/ ISIN Growth: INF174K01FL9,14-05-2021 20:00,02-04-2006,14-05-2021
