label,id,name,des,last refreshed,from,to
94,100366,ICICI Prudential Mutual Fund - ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,ISIN Div Payout/ ISIN Growth: INF109K01EY1<br><br>ISIN Div Reinvestment: INF109K01381,14-05-2021 20:00,19-06-2006,24-04-2020
96,100368,ICICI Prudential Mutual Fund - ICICI Prudential Gilt Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01JQ6<br><br>ISIN Div Reinvestment: INF109K01JP8,14-05-2021 20:00,02-04-2006,14-05-2021
98,100370,ICICI Prudential Mutual Fund - ICICI Prudential Short Term Gilt Fund - Dividend,ISIN Div Payout/ ISIN Growth: INF109K01JW4<br><br>ISIN Div Reinvestment: INF109K01JV6,14-05-2021 20:00,02-04-2006,25-05-2018
102,100376,Nippon India Mutual Fund - Nippon India Growth Fund-Growth Plan-Bonus Option,ISIN Div Payout/ ISIN Growth: INF204K01315,14-05-2021 20:00,03-04-2006,14-05-2021
105,100379,Nippon India Mutual Fund - Nippon India Vision Fund-GROWTH PLAN-Bonus Option,ISIN Div Payout/ ISIN Growth: INF204K01398,14-05-2021 20:00,03-04-2006,14-05-2021
107,100383,Nippon India Mutual Fund - NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,ISIN Div Payout/ ISIN Growth: INF204K01CN7<br><br>ISIN Div Reinvestment: INF204K01CO5,14-05-2021 20:00,03-04-2006,14-05-2021
111,100387,Nippon India Mutual Fund - Nippon India Income Fund - Growth Plan Growth Option,ISIN Div Payout/ ISIN Growth: INF204K01CL1,14-05-2021 20:00,03-04-2006,14-05-2021
127,100493,Franklin Templeton Mutual Fund - Franklin India Government Securities Fund - Growth,ISIN Div Payout/ ISIN Growth: INF090I01CU9,14-05-2021 20:00,03-04-2006,14-05-2021
131,100498,Franklin Templeton Mutual Fund - Franklin India Dynamic Accrual Fund - IDCW ,ISIN Div Payout/ ISIN Growth: INF090I01BN6<br><br>ISIN Div Reinvestment: INF090I01BO4,14-05-2021 20:00,03-04-2006,14-05-2021
133,100503,Franklin Templeton Mutual Fund - Franklin India Low Duration Fund - Monthly - IDCW,ISIN Div Payout/ ISIN Growth: INF090I01BQ9<br><br>ISIN Div Reinvestment: INF090I01BR7,14-05-2021 20:00,03-04-2006,14-05-2021
135,100519,Franklin Templeton Mutual Fund - Franklin India Flexi Cap Fund - IDCW ,ISIN Div Payout/ ISIN Growth: INF090I01213<br><br>ISIN Div Reinvestment: INF090I01221,14-05-2021 20:00,03-04-2006,14-05-2021
137,100521,Franklin Templeton Mutual Fund - Franklin India Technology Fund - IDCW ,ISIN Div Payout/ ISIN Growth: INF090I01759<br><br>ISIN Div Reinvestment: INF090I01767,14-05-2021 20:00,03-04-2006,12-05-2021
144,100529,Franklin Templeton Mutual Fund - Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,ISIN Div Payout/ ISIN Growth: INF090I01DJ0<br><br>ISIN Div Reinvestment: INF090I01DK8,14-05-2021 20:00,03-04-2006,14-05-2021
145,100530,Franklin Templeton Mutual Fund - Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,ISIN Div Payout/ ISIN Growth: INF090I01DL6<br><br>ISIN Div Reinvestment: INF090I01DM4,14-05-2021 20:00,03-04-2006,14-05-2021
148,100535,Franklin Templeton Mutual Fund - Franklin India Pension Plan - IDCW ,ISIN Div Payout/ ISIN Growth: INF090I01528<br><br>ISIN Div Reinvestment: INF090I01536,14-05-2021 20:00,03-04-2006,14-05-2021
